,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,msa
111,"Denver-Aurora-Lakewood, CO Metro Area",2931618,2931618,1152457,1297798,655615,568936,-888888888,2387232,19740
112,"Des Moines-West Des Moines, IA Metro Area",686491,686491,280056,288770,173392,137361,-888888888,544980,19780
113,"Detroit-Warren-Dearborn, MI Metro Area",4276356,4276356,1720610,1630157,943743,1024083,-888888888,3488626,19820
114,"Cumberland, MD-WV Metro Area",87554,,36430,37098,17108,27965,-888888888,82265,19060
115,"Dallas-Fort Worth-Arlington, TX Metro Area",7479506,7479506,2635017,3226795,1945726,1279162,-888888888,5853713,19100
116,"Dalton, GA Metro Area",142421,,50267,58190,36820,29224,-888888888,112271,19140
117,"Davenport-Moline-Rock Island, IA-IL Metro Area",369282,,155389,139797,86608,96087,-888888888,303730,19340
118,"Danville, IL Metro Area",72794,,31154,26250,17759,19920,-888888888,59587,19180
120,"Daphne-Fairhope-Foley, AL Metro Area",219405,,82325,78580,46903,63129,-888888888,183875,19300
121,"Dayton-Kettering, OH Metro Area",778684,778684,332258,310348,175847,203056,-888888888,652029,19430
122,"Decatur, AL Metro Area",149543,,59315,54378,33962,38925,-888888888,123325,19460
123,"Decatur, IL Metro Area",100138,,42741,37816,22963,28042,-888888888,83285,19500
124,"Dothan, AL Metro Area",147247,,56795,53767,33523,37567,-888888888,119775,20020
125,"Dover, DE Metro Area",174297,,68023,70359,41303,43345,-888888888,143775,20100
128,"Dubuque, IA Metro Area",93941,,38345,36823,22066,25418,-888888888,78269,20220
129,"Duluth, MN-WI Metro Area",277819,,124913,109808,56267,80304,-888888888,240632,20260
130,"Durham-Chapel Hill, NC Metro Area",611877,611877,255271,272519,130315,145148,-888888888,526731,20500
131,"East Stroudsburg, PA Metro Area",167961,,56274,62187,33116,41799,-888888888,140935,20700
132,"Eau Claire, WI Metro Area",161905,,67096,70026,35000,39689,-888888888,138076,20740
133,"El Centro, CA Metro Area",170050,,48182,75855,51598,32679,-888888888,135259,20940
134,"Elizabethtown-Fort Knox, KY Metro Area",150009,,58590,60375,36298,34816,-888888888,122936,21060
135,"Elkhart-Goshen, IN Metro Area",201420,,68553,78834,56669,43272,-888888888,156705,21140
136,"Elmira, NY Metro Area",79169,,33490,29838,17285,22366,-888888888,68229,21300
137,"El Paso, TX Metro Area",827224,827224,270137,365307,225223,148686,-888888888,643387,21340
138,"Enid, OK Metro Area",59232,,23683,25192,15681,12836,-888888888,46983,21420
139,"Erie, PA Metro Area",256304,,110128,102342,56861,69200,-888888888,219200,21500
140,"Eugene-Springfield, OR Metro Area",374921,,155696,157488,69571,100979,-888888888,319725,21660
142,"Evansville, IN-KY Metro Area",305566,,129971,120127,68208,80167,-888888888,254865,21780
143,"Fairbanks, AK Metro Area",92600,,35556,44672,23004,16365,-888888888,76263,21820
145,"Fort Smith, AR-OK Metro Area",245454,,98307,94352,60208,60016,-888888888,196934,22900
146,"Fargo, ND-MN Metro Area",238470,,104097,115815,55842,44281,-888888888,194542,22020
149,"Farmington, NM Metro Area",122225,,42561,48129,32366,27236,-888888888,95509,22140
150,"Fayetteville, NC Metro Area",503327,503327,193936,234639,132898,90681,-888888888,407989,22180
151,"Fayetteville-Springdale-Rogers, AR Metro Area",523104,523104,196683,234158,135157,94944,-888888888,416093,22220
153,"Flagstaff, AZ Metro Area",129443,,48993,70796,28005,26065,-888888888,118789,22380
154,"Flint, MI Metro Area",400914,,169247,148111,90568,104740,-888888888,326758,22420
155,"Florence, SC Metro Area",200519,,77848,76300,46925,51443,-888888888,163653,22500
156,"Florence-Muscle Shoals, AL Metro Area",145642,,60837,55689,30003,40959,-888888888,120837,22520
157,"Fond du Lac, WI Metro Area",100086,,42604,37251,21205,27211,-888888888,84734,22540
159,"Fort Collins, CO Metro Area",346494,,146638,159512,69047,79505,-888888888,295452,22660
160,"Fort Wayne, IN Metro Area",406868,,160462,162435,104528,89021,-888888888,320314,23060
162,"Fresno, CA Metro Area",981920,981920,315974,425192,281383,175750,-888888888,746456,23420
163,"Gadsden, AL Metro Area",100640,,40053,35744,21989,27469,-888888888,82584,23460
164,"Gainesville, FL Metro Area",313157,,126736,153244,60507,70280,-888888888,274685,23540
165,"Gainesville, GA Metro Area",202448,,65625,78019,50596,42989,-888888888,159604,23580
167,"Gettysburg, PA Metro Area",98783,,38703,36107,20047,28988,-888888888,85446,23900
168,"Glens Falls, NY Metro Area",120583,,53686,42484,22339,37412,-888888888,105767,24020
170,"Goldsboro, NC Metro Area",120848,,48482,46475,29018,28945,-888888888,97085,24140
171,"Grand Forks, ND-MN Metro Area",95553,,44724,45699,22131,21034,-888888888,80608,24220
172,"Grand Island, NE Metro Area",73713,,30529,27004,20220,17011,-888888888,57752,24260
173,"Grand Junction, CO Metro Area",151062,,63644,58773,32735,43472,-888888888,125044,24300
174,"Grand Rapids-Kentwood, MI Metro Area",1050859,1050859,396763,447594,254741,224097,-888888888,850249,24340
175,"Green Bay, WI Metro Area",315355,,132099,122122,74149,74898,-888888888,257817,24580
176,"Grants Pass, OR Metro Area",84990,,35206,27323,16790,30599,-888888888,72752,24420
177,"Great Falls, MT Metro Area",78728,,32816,31717,18237,21137,-888888888,65381,24500
178,"Greeley, CO Metro Area",317062,,111298,137691,84282,58166,-888888888,248474,24540
180,"Greensboro-High Point, NC Metro Area",746472,746472,301529,299967,169051,176393,-888888888,621699,24660
181,"Greenville, NC Metro Area",173204,,70926,82815,38491,32649,-888888888,145771,24780
182,"Greenville-Anderson, SC Metro Area",896193,896193,349480,359891,204035,213754,-888888888,740081,24860
184,"Guayama, PR Metro Area",67227,,24247,25910,12272,19762,-888888888,-999999999,25020
185,"Gulfport-Biloxi, MS Metro Area",407873,,159081,158116,96084,97119,-888888888,333343,25060
186,"Hagerstown-Martinsburg, MD-WV Metro Area",276827,,110354,107955,63350,68677,-888888888,232350,25180
187,"Hammond, LA Metro Area",131388,,46526,54303,32818,27901,-888888888,104677,25220
188,"Hanford-Corcoran, CA Metro Area",138401,,44761,69787,41343,22247,-888888888,115124,25260
189,"Harrisburg-Carlisle, PA Metro Area",559043,559043,234365,215607,123799,143688,-888888888,469137,25420
190,"Harrisonburg, VA Metro Area",126015,,47098,62308,26710,28719,-888888888,110920,25500
191,"Hartford-East Hartford-Middletown, CT Metro Area",1162742,1162742,476867,464863,240763,301488,-888888888,994927,25540
192,"Hattiesburg, MS Metro Area",164456,,59170,69922,41995,34345,-888888888,129801,25620
196,"Hickory-Lenoir-Morganton, NC Metro Area",362226,,146324,131577,74617,97279,-888888888,304612,25860
198,"Hilton Head Island-Bluffton, SC Metro Area",216599,,84094,72998,41459,75078,-888888888,185814,25940
199,"Hinesville, GA Metro Area",78061,,29973,37112,24137,12156,-888888888,59566,25980
202,"Homosassa Springs, FL Metro Area",146830,,64448,35494,21813,68353,-888888888,129996,26140
203,"Hot Springs, AR Metro Area",97858,,41743,34054,19539,31270,-888888888,83273,26300
204,"Houma-Thibodaux, LA Metro Area",202857,,76932,81752,50451,44876,-888888888,163408,26380
205,"Houston-The Woodlands-Sugar Land, TX Metro Area",6981579,6981579,2436438,3003088,1861784,1201910,-888888888,5407415,26420
206,"Huntington-Ashland, WV-KY-OH Metro Area",347538,,136687,128323,74829,93295,-888888888,289967,26580
207,"Huntsville, AL Metro Area",458613,,187898,184687,103123,106683,-888888888,379642,26620
210,"Idaho Falls, ID Metro Area",150667,,51152,60735,46614,28760,-888888888,110375,26820
212,"Indianapolis-Carmel-Anderson, IN Metro Area",2027204,2027204,793781,838621,507552,411379,-888888888,1626320,26900
213,"Iowa City, IA Metro Area",165385,,70169,84688,35143,31282,-888888888,142389,26980
214,"Ithaca, NY Metro Area",89133,,40322,54214,14453,21683,-888888888,89637,27060
215,"Jackson, MI Metro Area",149178,,61403,58504,33533,41029,-888888888,128306,27100
216,"Jackson, MS Metro Area",571423,571423,218853,246619,141186,125215,-888888888,472227,27140
217,"Jackson, TN Metro Area",171919,,70379,66220,40704,42815,-888888888,140988,27180
218,"Jacksonville, FL Metro Area",1525183,1525183,584381,604835,347895,355013,-888888888,1247978,27260
219,"Jacksonville, NC Metro Area",178429,,63604,104484,48310,26802,-888888888,153637,27340
221,"Janesville-Beloit, WI Metro Area",158482,,65316,61358,37401,40460,-888888888,131221,27500
223,"Jefferson City, MO Metro Area",139391,,59727,56778,33842,36882,-888888888,120511,27620
224,"Johnson City, TN Metro Area",196764,,89021,76520,36685,54740,-888888888,171387,27740
225,"Johnstown, PA Metro Area",123948,,56490,43621,24713,40700,-888888888,108727,27780
226,"Jonesboro, AR Metro Area",129416,,51288,57070,31715,25942,-888888888,105529,27860
227,"Joplin, MO Metro Area",176047,,67167,69937,43868,40081,-888888888,140521,27900
228,"Kahului-Wailuku-Lahaina, HI Metro Area",165518,,54744,60813,36211,41947,-888888888,134718,27980
229,"McAllen-Edinburg-Mission, TX Metro Area",858187,858187,247544,368454,278587,135536,-888888888,621900,32580
231,"Medford, OR Metro Area",218174,,87800,76125,44715,66236,-888888888,181298,32780
233,"Memphis, TN-MS-AR Metro Area",1318390,1318390,505048,537352,330742,277202,-888888888,1052727,32820
234,"Merced, CA Metro Area",270830,,80645,121089,80780,46728,-888888888,205769,32900
238,"Mayagüez, PR Metro Area",93760,,37341,36410,16222,28246,-888888888,81018,32420
239,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6093632,6093632,2187192,2321793,1243489,1533192,-888888888,5067035,33100
240,"Michigan City-La Porte, IN Metro Area",101804,,43100,41066,23401,28526,-888888888,89299,33140
241,"Midland, MI Metro Area",82050,,34350,30287,18143,21680,-888888888,67000,33220
242,"Midland, TX Metro Area",180887,,61159,81599,53067,27716,-888888888,134631,33260
243,"Milwaukee-Waukesha, WI Metro Area",1544680,1544680,635351,619707,359574,352358,-888888888,1256343,33340
244,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3580291,3580291,1396025,1474789,854445,749951,-888888888,2878094,33460
246,"Missoula, MT Metro Area",117012,,50853,54114,22386,26634,-888888888,99758,33540
247,"Mobile, AL Metro Area",421538,,161217,164556,100028,100248,-888888888,338302,33660
248,"Modesto, CA Metro Area",546896,546896,174698,227702,147773,103549,-888888888,419828,33700
249,"Monroe, LA Metro Area",191357,,77194,77155,48621,46474,-888888888,157202,33740
250,"Monroe, MI Metro Area",148968,,60875,52728,31602,39975,-888888888,122437,33780
251,"Montgomery, AL Metro Area",358797,,145250,149079,85326,84748,-888888888,297221,33860
253,"Mount Vernon-Anacortes, WA Metro Area",125891,,49043,46001,27778,37517,-888888888,104503,34580
254,"Muncie, IN Metro Area",106480,,45640,49991,20370,28074,-888888888,96820,34620
255,"Muskegon, MI Metro Area",167349,,66148,64288,39258,43259,-888888888,139288,34740
257,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",489945,,198645,154027,83556,180127,-888888888,422570,34820
259,"Napa, CA Metro Area",134438,,48107,51505,27923,35835,-888888888,113425,34900
260,"Naples-Marco Island, FL Metro Area",381881,,140578,109353,65038,153201,-888888888,327910,34940
261,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1892473,1892473,733787,817042,442175,373155,-888888888,1537911,34980
262,"Morgantown, WV Metro Area",129636,,53129,67127,23659,29976,-888888888,117778,34060
263,"Morristown, TN Metro Area",139250,,55874,50021,29023,38273,-888888888,118137,34100
267,"New Bern, NC Metro Area",121402,,52345,47490,26531,35192,-888888888,103971,35100
269,"New Haven-Milford, CT Metro Area",828166,828166,329006,331267,170625,213681,-888888888,704854,35300
270,"New Orleans-Metairie, LA Metro Area",1251089,1251089,485267,499501,280935,299898,-888888888,1019357,35380
272,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",18877126,18877126,7102817,7670576,4096809,4334637,-888888888,15583548,35620
273,"Niles, MI Metro Area",150229,,61809,53950,33202,40891,-888888888,123771,35660
274,"North Port-Sarasota-Bradenton, FL Metro Area",826455,826455,332582,232018,133078,341485,-888888888,717706,35840
276,"Norwich-New London, CT Metro Area",253622,,109752,100128,50896,68508,-888888888,221016,35980
279,"Orlando-Kissimmee-Sanford, FL Metro Area",2562362,2562362,889822,1099900,565145,549047,-888888888,2106602,36740
280,"Oshkosh-Neenah, WI Metro Area",164592,,71238,69775,35005,40278,-888888888,140431,36780
282,"Owensboro, KY Metro Area",118136,,48419,44306,28517,28895,-888888888,94708,36980
284,"Ocala, FL Metro Area",355224,,145622,112330,67252,130745,-888888888,307480,36100
285,"Ocean City, NJ Metro Area",90325,,40939,26919,15950,33911,-888888888,77852,36140
286,"Odessa, TX Metro Area",164284,,53155,74059,50336,23660,-888888888,120167,36220
287,"Ogden-Clearfield, UT Metro Area",677034,,218724,296245,206538,109941,-888888888,498303,36260
289,"Omaha-Council Bluffs, NE-IA Metro Area",931470,931470,367037,384755,242109,190805,-888888888,732690,36540
290,"Oklahoma City, OK Metro Area",1377460,1377460,523919,591996,344152,283578,-888888888,1103871,36420
292,"Olympia-Lacey-Tumwater, WA Metro Area",286442,,112909,113894,61707,72228,-888888888,236797,36500
293,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",832477,832477,268524,331138,190291,190440,-888888888,676757,37100
296,"Palm Bay-Melbourne-Titusville, FL Metro Area",595223,595223,230043,194995,109373,192091,-888888888,506159,37340
297,"Panama City, FL Metro Area",172273,,69195,63579,35918,44136,-888888888,143035,37460
298,"Parkersburg-Vienna, WV Metro Area",88655,,36946,30902,18500,25663,-888888888,73516,37620
299,"Pensacola-Ferry Pass-Brent, FL Metro Area",477142,477142,186805,198071,106424,117222,-888888888,406938,37860
300,"Peoria, IL Metro Area",389007,,162131,146857,92196,104228,-888888888,319006,37900
301,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5950835,5950835,2323207,2406910,1314182,1416836,-888888888,4938756,37980
302,"Phoenix-Mesa-Chandler, AZ Metro Area",4861744,4861744,1765135,2013603,1155012,1069487,-888888888,3923235,38060
303,"Pine Bluff, AR Metro Area",77753,,34290,34618,18618,22091,-888888888,73154,38220
305,"Pittsburgh, PA Metro Area",2259275,2259275,1028436,849888,435787,658520,-888888888,1933535,38300
306,"Pittsfield, MA Metro Area",118600,,53792,42922,20849,40780,-888888888,106770,38340
308,"Pocatello, ID Metro Area",91905,,34540,39424,24268,19732,-888888888,72952,38540
309,"Ponce, PR Metro Area",214149,,80104,82477,40998,61152,-888888888,182441,38660
311,"Portland-South Portland, ME Metro Area",526002,,226904,196772,98278,149146,-888888888,452339,38860
312,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2458017,2458017,964554,1047395,524712,536203,-888888888,2027439,38900
313,"Port St. Lucie, FL Metro Area",483020,,181914,154120,90135,169922,-888888888,408978,38940
316,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",653060,653060,241950,260054,152698,154304,-888888888,545823,39100
317,"Prescott Valley-Prescott, AZ Metro Area",229787,,102784,63575,37167,100066,-888888888,202628,39150
318,"Providence-Warwick, RI-MA Metro Area",1569628,1569628,627702,632934,319297,402852,-888888888,1345769,39300
319,"Provo-Orem, UT Metro Area",634153,634153,182219,319854,214036,73964,-888888888,458749,39340
320,"Pueblo, CO Metro Area",164979,,66111,64280,37413,43452,-888888888,135419,39380
321,"Punta Gorda, FL Metro Area",185164,,76589,41371,22357,95080,-888888888,168967,39460
323,"Racine, WI Metro Area",190703,,78905,71254,45082,48001,-888888888,156783,39540
324,"Raleigh-Cary, NC Metro Area",1363497,1363497,519648,582201,330735,247900,-888888888,1099213,39580
325,"Rapid City, SD Metro Area",138207,,56456,52298,32011,36482,-888888888,113773,39660
326,"Reading, PA Metro Area",407582,,154696,158021,93619,103177,-888888888,338456,39740
328,"Redding, CA Metro Area",177226,,72714,64688,38818,50335,-888888888,145433,39820
329,"Reno, NV Metro Area",469583,,192402,190451,101650,111961,-888888888,385101,39900
331,"Rockford, IL Metro Area",330487,,133538,123886,78930,80855,-888888888,266125,40420
332,"Rocky Mount, NC Metro Area",142992,,58531,51605,32108,39303,-888888888,117897,40580
333,"Rome, GA Metro Area",93975,,35443,37286,22730,21984,-888888888,78628,40660
337,"Sacramento-Roseville-Folsom, CA Metro Area",2327254,2327254,854279,958406,534049,519435,-888888888,1891368,40900
338,"Saginaw, MI Metro Area",184422,,79050,69049,40712,51082,-888888888,154863,40980
339,"Richmond, VA Metro Area",1258365,1258365,491891,516588,274935,295941,-888888888,1047526,40060
341,"Riverside-San Bernardino-Ontario, CA Metro Area",4557685,4557685,1379706,1943938,1183793,882469,-888888888,3602936,40140
342,"Roanoke, VA Metro Area",303985,,126469,110181,63357,85728,-888888888,257073,40220
344,"Rochester, MN Metro Area",218737,,92282,83125,53547,52455,-888888888,174441,40340
345,"Rochester, NY Metro Area",1030243,1030243,437296,407988,217986,270940,-888888888,878719,40380
346,"St. Louis, MO-IL Metro Area",2741024,2741024,1145583,1071175,615146,676464,-888888888,2254823,41180
347,"St. Cloud, MN Metro Area",195162,,76473,84008,47908,44583,-888888888,159388,41060
348,"St. George, UT Metro Area",175008,,63144,65246,45027,49689,-888888888,137370,41100
349,"St. Joseph, MO-KS Metro Area",117134,,46958,47870,26622,29987,-888888888,101594,41140
351,"Salem, OR Metro Area",423297,,152285,174990,104027,98501,-888888888,342066,41420
352,"Salinas, CA Metro Area",416906,,128227,180444,113191,84073,-888888888,333729,41500
353,"Salisbury, MD-DE Metro Area",399181,,166834,136699,79008,137432,-888888888,345242,41540
354,"Salt Lake City, UT Metro Area",1217769,1217769,405984,558002,332379,199393,-888888888,938057,41620
355,"San Angelo, TX Metro Area",115240,,44657,52394,28567,26099,-888888888,96106,41660
356,"San Antonio-New Braunfels, TX Metro Area",2507864,2507864,830598,1088951,637215,478343,-888888888,1985035,41700
357,"San Diego-Chula Vista-Carlsbad, CA Metro Area",3255097,3255097,1132434,1453111,714798,676022,-888888888,2702171,41740
359,"San Francisco-Oakland-Berkeley, CA Metro Area",4668490,4668490,1721576,1980119,924120,1039132,-888888888,3913818,41860
360,"San Germán, PR Metro Area",115769,,41896,40968,19534,36488,-888888888,100225,41900
361,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1955091,1955091,662842,852588,431307,388842,-888888888,1605553,41940
362,"San Juan-Bayamón-Caguas, PR Metro Area",2016324,2016324,752543,782255,364646,559689,-888888888,1717302,41980
363,"Scranton--Wilkes-Barre, PA Metro Area",532934,532934,230210,201267,111077,151827,-888888888,455680,42540
365,"Seattle-Tacoma-Bellevue, WA Metro Area",3917801,3917801,1541245,1724109,846322,782141,-888888888,3220082,42660
366,"Sebastian-Vero Beach, FL Metro Area",158418,,63917,45495,25972,67244,-888888888,138860,42680
367,"Sebring-Avon Park, FL Metro Area",104857,,43351,27805,18275,44773,-888888888,90155,42700
370,"San Luis Obispo-Paso Robles, CA Metro Area",267499,,106512,115167,49101,79011,-888888888,240018,42020
