,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,msa
1,"Houston-The Woodlands-Sugar Land, TX Metro Area",6906869,6906869,2359266,2988938,1856855,1151274,-888888888,5338778,26420
2,"Huntington-Ashland, WV-KY-OH Metro Area",344571,,136769,129487,73847,90554,-888888888,287303,26580
3,"Huntsville, AL Metro Area",450216,,185056,182436,102489,97023,-888888888,373428,26620
6,"Idaho Falls, ID Metro Area",147962,,50354,58525,46869,26407,-888888888,106823,26820
8,"Indianapolis-Carmel-Anderson, IN Metro Area",2004301,2004301,783345,826093,505065,400236,-888888888,1599212,26900
9,"Jonesboro, AR Metro Area",128115,,52335,55252,32879,27190,-888888888,103159,27860
10,"Joplin, MO Metro Area",175559,,71145,68992,43561,38426,-888888888,140076,27900
11,"Kahului-Wailuku-Lahaina, HI Metro Area",164989,,52851,60833,36038,42264,-888888888,134688,27980
12,"Ithaca, NY Metro Area",89058,,40250,54183,15467,21448,-888888888,89103,27060
13,"Jackson, MI Metro Area",148980,,62598,59114,33802,39566,-888888888,129716,27100
14,"Jackson, MS Metro Area",559360,559360,210166,241317,137685,119252,-888888888,462538,27140
15,"Jackson, TN Metro Area",123838,,50548,48641,29085,31958,-888888888,103648,27180
16,"Jacksonville, FL Metro Area",1505541,1505541,575423,598424,343953,336973,-888888888,1229647,27260
17,"Jacksonville, NC Metro Area",177272,,66834,103860,48419,24911,-888888888,152605,27340
19,"Janesville-Beloit, WI Metro Area",158918,,64632,60859,37426,37580,-888888888,130594,27500
21,"Jefferson City, MO Metro Area",139679,,57053,59112,32597,34816,-888888888,121777,27620
22,"Johnson City, TN Metro Area",196885,,85430,75262,38390,54191,-888888888,169914,27740
23,"Johnstown, PA Metro Area",125244,,56483,44156,25226,40498,-888888888,109575,27780
25,"Abilene, TX Metro Area",160929,,61527,74341,41347,36425,-888888888,136605,10180
27,"Aguadilla-Isabela, PR Metro Area",290465,,109531,110105,52266,82656,-888888888,249121,10380
28,"Akron, OH Metro Area",687406,687406,287044,271000,142730,175573,-888888888,580989,10420
30,"Albany, GA Metro Area",145234,,56348,61367,36012,32501,-888888888,118813,10500
31,"Albany, OR Metro Area",124602,,48464,47779,27940,32079,-888888888,102520,10540
32,"Albany-Schenectady-Troy, NY Metro Area",853077,853077,353746,350342,172542,212581,-888888888,732924,10580
34,"Albuquerque, NM Metro Area",903338,903338,358493,363784,202410,212437,-888888888,739062,10740
35,"Alexandria, LA Metro Area",145834,,55127,59643,36786,34255,-888888888,120480,10780
36,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",818723,818723,320501,312076,177160,209058,-888888888,687174,10900
37,"Altoona, PA Metro Area",119657,,51096,42812,24260,33697,-888888888,101683,11020
38,"Amarillo, TX Metro Area",258000,,98518,108660,68671,52360,-888888888,206657,11100
39,"Ames, IA Metro Area",86645,,37290,56138,16321,15440,-888888888,83876,11180
40,"Anchorage, AK Metro Area",390775,,137483,170909,100199,68730,-888888888,310040,11260
41,"Ann Arbor, MI Metro Area",351671,,143072,178004,68935,72194,-888888888,310952,11460
42,"Anniston-Oxford-Jacksonville, AL Metro Area",111061,,44264,43718,24484,28370,-888888888,93284,11500
43,"Appleton, WI Metro Area",234180,,94810,91522,55810,50341,-888888888,188041,11540
44,"Arecibo, PR Metro Area",173417,,64093,63823,32008,48775,-888888888,146410,11640
45,"Asheville, NC Metro Area",449334,,191889,161389,84500,135404,-888888888,384753,11700
49,"Athens-Clarke County, GA Metro Area",199940,,79945,103497,42800,38477,-888888888,174202,12020
50,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5851050,5851050,2137280,2477918,1450740,1062865,-888888888,4676101,12060
51,"Atlantic City-Hammonton, NJ Metro Area",259787,,96981,95277,56422,65593,-888888888,216076,12100
53,"Auburn-Opelika, AL Metro Area",157870,,59336,76993,34795,29162,-888888888,132509,12220
54,"Augusta-Richmond County, GA-SC Metro Area",589268,589268,214107,241932,139778,135242,-888888888,482200,12260
56,"Austin-Round Rock, TX Metro Area",2126840,2126840,786341,1008138,498418,342680,-888888888,1725649,12420
57,"Bakersfield, CA Metro Area",866580,866580,273167,386714,258952,143202,-888888888,664871,12540
58,"Baltimore-Columbia-Towson, MD Metro Area",2736479,2736479,1054226,1108909,612036,621408,-888888888,2257415,12580
59,"Bangor, ME Metro Area",144946,,61765,58557,26744,39016,-888888888,127364,12620
60,"Barnstable Town, MA Metro Area",210328,,86671,58834,32580,84127,-888888888,185817,12700
61,"Bend-Redmond, OR Metro Area",190981,,79950,68750,39129,53680,-888888888,156933,13460
62,"Baton Rouge, LA Metro Area",808386,808386,301509,350135,194731,168807,-888888888,658414,12940
63,"Battle Creek, MI Metro Area",130678,,53914,48519,30702,33975,-888888888,106995,12980
64,"Bellingham, WA Metro Area",221147,,87080,95497,44119,54103,-888888888,186211,13380
